NAME,ID,SEX,InfWean,IWDATE,"SEXMat (0-no, 1- yes, 3, not yet/censored)",SMDATE,EndDate,Dead (1) or Gone/ALIVE (0),Died W Mom,TAKEOVER BEFORE SEXM,TAKEOVER DATE 1,TAKEOVER DATE 2,TAKEOVER DATE 3,TAKEOVER DATE 4,TAKEOVER DATE 5,TAKEOVER DATE 6,TAKEOVER DATE 7,TAKEOVER DATE 8,DOB,MOM,MomCyst,,,,,,,,,
Muppet,MUP,F,1,2/17/06,1,10/7/08,4/29/15,1,0,,,,,,,,,,2/24/04,Meena,0,,,,,,,,,
Roustabout,ROU,F,1,9/18/06,0,NA,UN,1,UN,Y,1/31/06,,,,,,,,12/31/05,Rhonda,0,,,,,,,,,
Daunte,DAU,M,1,2/2/07,0,NA,3/28/09,1,0,N,,,,,,,,,12/1/05,Debra,0,,,,,,,,,
Thyme,THY,M,1,3/19/08,0,NA,2/23/09,1,0,N,,,,,,,,,12/13/07,Coo,0,,,,,,,,,
Happy,HAP,F,1,3/25/08,0,NA,12/1/11,1,0,Y,2/27/07,,,,,,,,12/4/06,Hadar,0,,,,,,,,,
Babe,BAB,F,1,9/29/08,1,4/3/12,4/14/14,1,0,Y,7/24/09,,,,,,,,10/30/07,Barbara,0,,,,,,,,,
Vicky,VIC,F,1,4/8/09,0,NA,8/5/10,1,0,N,,,,,,,,,6/1/07,Veronica,0,,,,,,,,,
Viktor,VIK,M,1,4/9/09,0,NA,3/20/12,1,0,N,,,,,,,,,12/1/07,Vampire,0,,,,,,,,,
Beyonce,BEY,F,1,7/26/09,0,NA,UN,1,0,N,,,,,,,,,11/13/08,Betty,0,,,,,,,,,
Blarney,BLA,F,1,9/18/09,1,6/10/13,4/29/15,1,0,Y,7/24/09,4/5/13,,,,,,,2/16/09,Bee,0,,,,,,,,,
Viper,VIP,M,1,4/22/10,1,6/14/14,3/6/15,1,0,,,,,,,,,,11/1/08,Vespa,0,,,,,,,,,
Cream,CRE,F,1,1/31/11,0,NA,10/1/11,1,1,N,,,,,,,,,4/11/09,Cake,0,,,,,,,,,
Vin Diesel,VIN,M,1,3/3/11,0,NA,10/1/11,1,0,N,,,,,,,,,8/8/09,Valerie,0,,,,,,,,,
VelociRappa,VEL,M,1,3/9/11,0,NA,5/23/11,1,0,N,,,,,,,,,1/25/10,Vampire,0,,,,,,,,,
Owen,OWE,M,1,4/4/11,0,NA,12/21/12,1,1,Y,2/29/12,,,,,,,,1/1/10,Coo,1,,,,,,,,,
Jenga,JEN,M,1,4/18/11,0,NA,9/26/11,1,0,N,,,,,,,,,7/19/09,Jools,0,,,,,,,,,
Buggaboo,BUG,F,1,8/16/11,3,NA,12/10/11,1,0,,,,,,,,,,5/12/10,Birtha,1,,,,,,,,,
Ait,AIT,M,1,8/30/11,0,NA,9/30/11,1,0,N,,,,,,,,,9/21/10,Mouse,0,,,,,,,,,
Tiramisu,TIR,F,1,4/16/12,0,NA,11/3/12,1,0,Y,4/3/12,,,,,,,,10/31/11,Top,0,,,,,,,,,
Abu,ABU,F,1,2/8/13,0,NA,3/2/13,1,0,Y,3/1/13,,,,,,,,9/5/10,Alexandra,0,,,,,,,,,
Zumzum,ZUM,F,1,4/17/13,0,NA,7/2/13,1,0,N,,,,,,,,,8/30/11,Zoo,0,,,,,,,,,
Balthazar,BAL,M,1,4/24/13,0,NA,4/30/14,1,0,Y,4/5/13,,,,,,,,2/16/12,Birtha,1,,,,,,,,,
Zazu,ZAZ,F,1,5/2/13,0,NA,5/4/14,1,0,N,,,,,,,,,4/1/12,Zion,0,,,,,,,,,
Berbere,BER,F,1,5/20/13,0,NA,10/29/13,1,0,Y,4/5/13,,,,,,,,9/5/11,Barbara,0,,,,,,,,,
Baffles,BAF,M,1,8/21/13,0,NA,12/20/13,1,0,N,,,,,,,,,10/26/12,Beatrice,1,,,,,,,,,
Bjorn,BJO,M,1,10/3/13,0,NA,3/9/14,1,0,Y,4/5/13,,,,,,,,10/12/12,Bryonny,0,,,,,,,,,
Mistletoe,MIS,F,1,2/7/14,0,NA,9/17/14,1,0,Y,2/22/13,5/10/13,,,,,,,12/3/12,Meena,0,,,,,,,,,
Copernicus,COP,M,1,10/15/14,0,NA,3/11/15,1,0,Y,9/20/14,,,,,,,,2/21/14,Capricorn,0,,,,,,,,,
Avett,AVE,M,1,4/20/15,0,NA,4/29/15,1,0,Y,3/18/15,,,,,,,,2/17/14,Aiwa,0,,,,,,,,,
Sheno,SHE,M,0,NA,0,NA,5/30/06,1,0,N,,,,,,,,,6/15/05,Penelope,0,,,,,,,,,
Wutma,WUT,F,0,NA,0,NA,6/2/06,1,0,Y,5/30/06,,,,,,,,5/24/06,Wilma,0,,,,,,,,,
Mite,MIT,M,0,NA,0,NA,6/7/06,1,0,Y,2/15/06,,,,,,,,1/27/06,Axum,0,,,,,,,,,
Cecelia,CEC,F,0,NA,0,NA,9/13/06,1,1,N,,,,,,,,,6/15/05,Celia,0,,,,,,,,,
Snicker,SNI,M,0,NA,0,NA,3/22/08,1,0,N,,,,,,,,,2/5/08,Hershey,0,,,,,,,,,
Mienke,MIE,F,0,NA,0,NA,5/1/08,1,0,Y,4/22/08,,,,,,,,10/4/07,Mimi,0,,,,,,,,,
Hyrax,HYR,F,0,NA,0,NA,5/20/08,1,0,Y,3/26/08,,,,,,,,2/5/08,Hickory,0,,,,,,,,,
Gebs,GEB,M,0,NA,0,NA,9/12/08,1,1,N,,,,,,,,,7/14/07,Tef,0,,,,,,,,,
Imax,IMA,M,0,NA,0,NA,10/4/08,1,1,N,,,,,,,,,4/1/08,Maxine,0,,,,,,,,,
Darren,DAR,M,0,NA,0,NA,10/22/08,1,0,N,,,,,,,,,5/23/08,Mabel,0,,,,,,,,,
Lero,LER,M,0,NA,0,NA,12/1/08,1,0,N,,,,,,,,,8/16/08,Lamu,0,,,,,,,,,
Kosie,KOS,M,0,NA,0,NA,3/5/09,1,1,N,,,,,,,,,8/14/08,Nima,0,,,,,,,,,
Juju,JUJ,M,0,NA,0,NA,3/20/09,1,0,N,,,,,,,,,2/15/07,Jinka,0,,,,,,,,,
Doughty,DOU,M,0,NA,0,NA,5/14/09,1,1,N,,,,,,,,,4/16/09,Dotty,0,,,,,,,,,
Kixx,KIX,F,0,NA,0,NA,5/31/09,1,0,Y,4/5/09,,,,,,,,1/25/09,Kara,0,,,,,,,,,
Kaye,KAY,F,0,NA,0,NA,6/1/09,1,0,Y,4/5/09,,,,,,,,12/25/08,Kima,0,,,,,,,,,
