Smp Year,Well,Smp date,SMP,Name,DOB,Cyst,Sex,Age,Unit,Unit2,Unit Type,Site,Male S,Leader?,Overthrown?,OD_Values,Concentration,Calculation,Results,Plate,Series,V=WellOD-AvgN/AvgP-AvgN,ODV,S,AVG NOD,AVG POD
2014,F7,8/11/2014,1,Cinnamon,1/10/2013,N,F,I,C4,C4,OMU,SK,NA,NA,NA,0.106,Range?,Range?,negative,6,S,-0.090204508,-9.020450751,N,0.0735,0.599
2014,A2,8/11/2014,2,Joker,11/19/2009,N,M,SA,J,J,OMU,SK,NA,NA,NA,0.206,12.208,12.2,negative,2,W,0.078808776,7.880877573,N,0.0825,1.846
2014,B7,8/11/2014,3,Ceylon,6/15/2005,N,F,A,C4,C4,OMU,SK,NA,NA,NA,0.226,Range?,Range?,negative,6,S,0.068489437,6.848943662,N,0.10075,1.775
2014,C2,8/11/2014,4,Coco,2/17/2004,N,F,A,C4,C4,OMU,SK,NA,NA,NA,0.142,Range?,Range?,negative,10,W,-0.015510563,-1.551056338,N,0.10075,1.775
2014,D2,8/11/2014,5,Cauliflower,2/8/2013,N,F,J,C4,C4,OMU,SK,NA,NA,NA,0.139,Range?,Range?,negative,10,W,0.02960954,2.96095403,N,0.079,2.5995
2014,E2,8/11/2014,6,Debra,5/1/1997,Y,F,A,D,D,OMU,SK,NA,NA,NA,1.714,63.425,63.4,POSITIVE,10,W,1.440137563,144.0137563,P,0.129,0.8905
2014,B4,8/11/2014,7,Noha,4/11/2003,N,M,A,V,V,OMU,SK,L,C,Y,0.091,Range?,Range?,negative,5,S,-0.019381391,-1.938139103,N,0.07025,1.7505
2014,G4,8/11/2014,8,Chuxi,7/28/2006,N,F,A,C3,C3,OMU,SK,NA,NA,NA,0.123,Range?,Range?,negative,12,S,-0.034510563,-3.451056338,N,0.10075,1.775
2014,G4,8/11/2014,10,Dinky,4/1/2013,N,F,I,D,D,OMU,SK,NA,NA,NA,0.123,Range?,Range?,negative,4,S,0.007057148,0.705714753,N,0.08075,2.2945
2014,H2,8/11/2014,11,Mhetik,3/29/2002,N,M,A,J,J,OMU,SK,L,C,Y,0.166,Range?,Range?,negative,10,W,0.052479199,5.247919877,N,0.075,1.947
2014,H4,8/11/2014,12,Cassie,9/4/2002,N,F,A,C3,C3,OMU,SK,NA,NA,NA,0.112,Range?,Range?,negative,12,S,0.00260954,0.26095403,N,0.079,2.5995
2014,B3,8/11/2014,13,Doppler,10/4/2011,N,M,J,D,D,OMU,SK,NA,NA,NA,0.168,Range?,Range?,negative,10,W,-0.012630561,-1.263056126,N,0.07625,0.7305
2014,C3,8/11/2014,14,Vodka,3/24/2003,N,M,A,T,T,OMU,SK,L,C,N,0.268,Range?,Range?,negative,10,W,0.152057148,15.20571475,N,0.08075,2.2945
2014,D3,8/12/2014,16,Kaleidescope,8/24/2011,N,F,J,K,K,OMU,SK,NA,NA,NA,0.193,Range?,Range?,negative,10,W,0.038868177,3.886817717,N,0.12275,3.9115
2014,F3,8/12/2014,18,Autumn,9/11/2010,N,F,J,A,A,OMU,SK,NA,NA,NA,0.148,Range?,Range?,negative,10,W,-0.125862437,-12.58624368,N,0.129,0.8905
2014,E4,8/12/2014,19,Ant,12/16/2008,N,F,A,A,A,OMU,SK,NA,NA,NA,0.248,19.598,19.6,Borderline,10,S,0.127549902,12.75499017,N,0.08075,2.034
2014,H3,8/12/2014,20,Coco,2/17/2004,N,F,A,C4,C4,OMU,SK,NA,NA,NA,0.167,Range?,Range?,negative,10,W,0.036319678,3.631967759,N,0.08525,1.8765
2014,A4,8/12/2014,21,Trudy,UN,N,F,A,T,T,OMU,SK,NA,NA,NA,0.143,Range?,Range?,negative,10,W,0.027057148,2.705714753,N,0.08075,2.2945
2014,D4,8/13/2014,25,Monica,UN,N,F,A,M1,M1,OMU,SK,NA,NA,NA,0.173,Range?,Range?,negative,10,W,0.023148089,2.314808917,N,0.08775,1.413
2014,E4,8/13/2014,26,Mouse,12/15/2004,N,F,A,M1,M1,OMU,SK,NA,NA,NA,0.259,Range?,Range?,negative,10,W,0.109148089,10.91480892,N,0.08775,1.413
2014,F5,8/13/2014,27,Jools,7/1/2003,N,F,A,J,J,OMU,SK,NA,NA,NA,0.142,Range?,Range?,negative,6,S,0.021549902,2.154990167,N,0.08075,2.034
2014,G4,8/13/2014,28,Mistletoe,12/3/2012,N,F,J,M1,M1,OMU,SK,NA,NA,NA,0.331,5.522,5.5,negative,10,W,0.130174748,13.01747478,N,0.14225,2.4285
2014,E2,8/13/2014,29,Myce,10/29/2012,N,F,I,M1,M1,OMU,SK,NA,NA,NA,0.156,7.561,7.6,negative,2,W,-0.001510563,-0.151056338,N,0.10075,1.775
2014,F2,8/13/2014,30,Moo,10/24/2002,N,F,A,M2,M2,OMU,SK,NA,NA,NA,0.177,9.431,9.4,negative,2,W,0.022868177,2.286817717,N,0.12275,3.9115
