"name","sex","start","stop","cyst","death","mom","momdied"
"Muppet","F",0,1095.75,"0",0,"Meena",0
"Daunte","M",0,1095.75,"0",0,"Debra",0
"Thyme","M",0,438,"0",1,"Coo",0
"Happy","F",0,1095.75,"0",0,"Hadar",0
"Babe","F",0,1095.75,"0",0,"Barbara",0
"Vicky","F",0,1095.75,"0",0,"Veronica",0
"Viktor","M",0,1095.75,"0",0,"Vampire",0
"Blarney","F",0,1095.75,"0",0,"Bee",0
"Viper","M",0,1095.75,"0",0,"Vespa",0
"Cream","F",0,903,"0",1,"Cake",1
"Vin Diesel","M",0,784,"0",1,"Valerie",0
"VelociRappa","M",0,482.958333333333,"0",1,"Vampire",0
"Owen","M",0,1085,"1",1,"Coo",1
"Jenga","M",0,799,"0",1,"Jools",0
"Buggaboo","F",0,577.041666666667,"1",1,"Birtha",0
"Ait","M",0,374,"0",1,"Mouse",0
"Tiramisu","F",0,369,"0",1,"Top",0
"Abu","F",0,909.041666666667,"0",1,"Alexandra",0
"Zumzum","F",0,672,"0",1,"Zoo",0
"Balthazar","M",0,803.958333333333,"1",1,"Birtha",0
"Zazu","F",0,763,"0",1,"Zion",0
"Berbere","F",0,785,"0",1,"Barbara",0
"Baffles","M",0,420.041666666667,"1",1,"Beatrice",0
"Bjorn","M",0,513.041666666667,"0",1,"Bryonny",0
"Mistletoe","F",0,652.958333333333,"0",1,"Meena",0
"Copernicus","M",0,382.958333333333,"0",1,"Capricorn",0
"Avett","M",0,435.958333333333,"0",1,"Aiwa",0
"Sheno","M",0,349,"0",1,"Penelope",0
"Wutma","F",0,9,"0",1,"Wilma",0
"Mite","M",0,130.958333333333,"0",1,"Axum",0
"Cecelia","F",0,455,"0",1,"Celia",1
"Snicker","M",0,45.9583333333333,"0",1,"Hershey",0
"Mienke","F",0,210,"0",1,"Mimi",0
"Hyrax","F",0,104.958333333333,"0",1,"Hickory",0
"Gebs","M",0,426,"0",1,"Tef",1
"Imax","M",0,186,"0",1,"Maxine",1
"Darren","M",0,152,"0",1,"Mabel",0
"Lero","M",0,107.041666666667,"0",1,"Lamu",0
"Kosie","M",0,203.041666666667,"0",1,"Nima",1
"Juju","M",0,763.958333333333,"0",1,"Jinka",0
"Doughty","M",0,28,"0",1,"Dotty",1
"Kixx","F",0,125.958333333333,"0",1,"Kara",0
"Kaye","F",0,157.958333333333,"0",1,"Kima",0
"Dave","M",0,16,"0",1,"Colleen",0
"Foo","F",0,92,"0",1,"Faye",0
"Meg","F",0,257.958333333333,"0",1,"Midge",0
"Klondike","F",0,1027,"0",1,"Kara",0
"Hoe","F",0,314.041666666667,"0",1,"Hadar",1
"Hunter","M",0,32,"0",1,"Sweetpea",0
"Smuckers","F",0,53.9583333333333,"0",1,"Sookie",0
"Louis","M",0,251,"0",1,"Lamu",1
"Yippiecayay","M",0,11,"0",1,"Kima",0
"Vague","F",0,173.958333333333,"0",1,"Veronica",1
"Kocomo","M",0,173.041666666667,"0",1,"Keegle",0
"Gemma","M",0,162.958333333333,"0",1,"Colleen",1
"Vanessish","F",0,649,"0",1,"Vye",0
"Lbaby","M",0,16,"0",1,"Lolita",0
"Oink","M",0,35.0416666666667,"0",1,"Moo",0
"Kama Sutra","F",0,99.0416666666667,"0",1,"Keegle",0
"Ruce","F",0,458.041666666667,"0",1,"Rita",0
"Tyrone","M",0,256,"0",1,"Tail",1
"Cranberry","F",0,268,"0",1,"Cassie",0
"Xicato","M",0,273,"0",1,"Trudy",0
"Vasco","M",0,268,"0",1,"Mimi",0
"Pterodactyl","M",0,331,"0",1,"Tiny",0
