"name","sex","dob","start","cyst","dod","stop","mom","dis"
"Adelalew","M",0,8.28736025553274,NA,NA,8.85968514715948,"",0
"Aiwa","F",0,4.45163130276067,NA,NA,12.145106091718,"",0
"Alexandra","F",0,4.80766598220397,NA,NA,11.5730093543235,"",0
"Alice","F",0,23.4032626055213,23.3676705452886,23.9835728952772,23.9835728952772,"",0
"Amelia","F",0,4,NA,NA,5.87816563997262,"Aiwa",0
"Ani","F",0,4.33413187314625,NA,NA,14.2040839607575,"",0
"Ant","F",0,4,NA,NA,7.02532511978097,"Ani",0
"Apie","F",0,4,6.88569472963724,7.27720739219713,7.27720739219713,"Ani",0
"Apple","F",0,17.9603011635866,17.9603011635866,18.9869952087611,18.9869952087611,"",0
"Arlene","F",0,21.8261464750171,NA,23.9834588181611,23.9834588181611,"",0
"Autumn","F",0,4,NA,NA,5.28964179785535,"Ani",0
"Avatar","F",0,4,NA,NA,4.25199634953228,"Aiwa",0
"Avon","M",0,8.25450604608715,NA,NA,12.1341546885695,"",0
"Babe","F",0,4.16712297513119,NA,6.4558521560575,6.4558521560575,"",0
"Baggins","M",0,4,NA,NA,7.29374857403605,"Tea",0
"Barbara","F",0,7.17043121149897,NA,NA,17.0677618069815,"",0
"Beatrice","F",0,7.68514715947981,14.3984713666439,16.2355692448095,16.2355692448095,"Bryonny",0
"Bee","F",0,5.4180926306183,NA,NA,13.1225188227242,"unknown",0
"Benzine","M",0,10.5161989504905,NA,NA,11.8494182067077,"",1
"Betty","F",0,17.4456992927219,NA,21.9849418206708,21.9849418206708,"",0
"Beverly","F",0,5.33048140543007,NA,NA,11.0280629705681,"Barbara",0
"Bianca","F",0,4,NA,NA,5.36082591832078,"Buna",0
"Biera","F",0,4,NA,NA,5.70579511749943,"Barbara",0
"Bimbi","F",0,4,NA,NA,8.63803331051791,"Bryonny",0
"Birtha","F",0,14.6421400866986,18.3052703627652,21.9849418206708,21.9849418206708,"",0
"Bitsy","F",0,4,NA,4.87873602555327,4.87873602555327,"Beatrice",0
"Blarney","F",0,4,NA,6.19564225416381,6.19564225416381,"Bee",0
"Blomkvist","M",0,4,NA,NA,5.07871321013005,"Gypsy",0
"Bombolino","F",0,4.58042436687201,NA,NA,8.70362765229295,"Betty",0
"Boo","F",0,4.61875427789186,6.48870636550308,6.77891854893908,6.77891854893908,"",0
"Bossy","F",0,4,NA,NA,5.2513118868355,"Brindle",0
"Botox","F",0,4.22450376454483,NA,NA,6.50228154232261,"Brenda",0
"Boytjie","M",0,4,NA,NA,8.08761122518823,"Glenda",0
"Brenda","F",0,10.9048596851472,NA,NA,15.9890485968515,"",0
"Brindle","F",0,4,NA,NA,10.0670773442847,"Bryonny",0
"Bronte","F",0,4.65149441022131,NA,NA,9.11978097193703,"Birtha",0
"Bryonny","F",0,17.1006160164271,NA,24.9828884325804,24.9828884325804,"",0
"Bubba","M",0,9.80150581793292,9.65925165411818,NA,12.6325576089436,"",1
"Buffy","F",0,4,NA,NA,7.31017567875884,"Barbara",0
"Bumblebee","M",0,8.85432352270135,NA,NA,14.6859456992927,"",0
"Buna","F",0,7.17043121149897,NA,NA,17.0677618069815,"",0
"Byork","F",0,4,NA,NA,5.44569929272188,"Beatrice",0
"Cake","F",0,4.61875427789186,NA,8.9719370294319,8.9719370294319,"",0
"Cali","F",0,17.4758156513803,17.4402235911476,24.9801505817933,24.9801505817933,"",0
"Capricorn","F",0,4,NA,NA,10.0670773442847,"Cali",0
"Carmen","F",0,8.92265571526352,NA,NA,18.8199863107461,"Cali",0
"Cassie","F",0,4.60232717316906,NA,NA,13.3088067533653,"",0
"Cee","F",0,4.94182067077344,9.96303901437372,11.0335386721424,11.0335386721424,"",0
"Celia","F",0,6.8993839835729,NA,7.51254848277436,7.51254848277436,"",0
"Ceylon","F",0,4,NA,NA,10.5298882044262,"Corona",0
"Chihuahua","F",0,4.26557152635181,NA,6.38193018480493,6.38193018480493,"Contico",0
"Chuxi","F",0,4,NA,NA,9.4128450832763,"",0
"Claudia","F",0,24.8487337440109,NA,26.9814054300707,26.9814054300707,"",0
"Clover","F",0,4,NA,NA,6.84462696783025,"Cassie",0
"Clymax","M",0,4,NA,NA,5.82067077344285,"Carmen",0
"Coco","F",0,4.61864020077572,NA,NA,11.854893908282,"Carmen",0
"Colleen","F",0,16.7037417294091,NA,21.9575633127995,21.9575633127995,"",0
"Contico","F",0,15.5757472051107,NA,18.9869952087611,18.9869952087611,"",0
"Coo","F",0,4.61886835500799,8.70362765229295,10.4285877253023,10.4285877253023,"Corona",0
"Corona","F",0,11.4196897102441,NA,NA,21.3170203057267,"",0
"Cuervo","M",0,4,NA,NA,5.23762263289984,"Corona",0
"Cynthia","F",0,4,NA,NA,5.9192334017796,"Cali",0
"Daisy","F",0,4,NA,NA,6.18765685603468,"Dawn",0
"Dale","M",0,4,NA,NA,6.64487793748574,"Dessie",0
"Dante","M",0,4,NA,NA,4.01642710472279,"Bronte",0
"Dawn","F",0,4,NA,8.6679215149441,8.6679215149441,"",0
"Debra","F",0,8.70647958019621,15.7564453570614,NA,18.6530914898471,"",0
"Decepticon","M",0,7.85500798539813,NA,NA,8.22450376454483,"",0
"Degu","M",0,8.28462240474561,NA,8.32021446497833,8.32021446497833,"",0
"Delia","F",0,4.90896646132786,8.78850102669404,NA,14.8555783709788,"Dotty",0
"Demon","M",0,8.29557380789414,NA,NA,9.04312114989733,"",0
"Dessie","F",0,4,NA,NA,12.911704312115,"Debra",0
"Devil","M",0,9.45642254163815,NA,NA,16.9801505817933,"",0
"Diana","F",0,4,NA,NA,8.58875199634953,"Delia",0
"Diego","M",0,8.9719370294319,NA,NA,11.791923340178,"",0
"Dikos","M",0,7.29101072324892,NA,NA,11.6413415468857,"",0
"Dill","M",0,4,NA,NA,5.15822496007301,"Debra",0
"Dixy","F",0,4,NA,NA,6.94592744695414,"Debra",0
"Django","M",0,9.98756559434178,NA,NA,11.5399269906457,"",0
"Djembe","M",0,4,NA,NA,4.93908281998631,"Lorna",0
"Djibouti","M",0,8.99383983572895,NA,NA,16.6049509468401,"",1
"Dolly","F",0,4,NA,NA,6.31086014145562,"Delia",0
"Domino","M",0,4,NA,NA,7.0362765229295,"Moo",0
"Don Juan","M",0,4,NA,NA,9.28142824549395,"Dotty",0
"Doodah","M",0,4,NA,NA,4.27116130504221,"Zipadee",0
"Doppler","M",0,4,NA,NA,4.2273556924481,"Delia",0
"Dotty","F",0,20.6544604152407,NA,23.9835728952772,23.9835728952772,"",0
"Dubai","M",0,9.49486652977413,NA,NA,14.1548026465891,"",0
"Dude","M",0,4,NA,5.34987451517226,5.41832078485056,"Zipadee",0
"Dumbass","M",0,9.89733059548255,NA,NA,13.4182067077344,"",0
"Elias","M",0,4,NA,NA,8.55315993611682,"Trudy",0
"Elrond","M",0,8.29568788501027,NA,NA,8.6652977412731,"",1
"Erckel","M",0,8.29568788501027,NA,NA,9.46760209901894,"",0
"Eric","M",0,4,NA,NA,5.94387405886379,"Cee",0
