"ORDER","UNIT","NAME","ID","SEX","EVENT","DATE","STATUS","MOM","INF.NAME"
"1","A","Ababa","Aba","F","DOB",2015-11-26,"Natal","Aiwa",""
"2","A","Ababa","Aba","F","START",2015-11-28,"Natal","Aiwa",""
"3","A","Ababa","Aba","F","END",2015-12-26,"","Aiwa",""
"1","A","Abu","ABU","F","DOB",2010-09-05,"Natal","Alexandra",""
"2","A","Abu","ABU","F","START",2012-01-04,"Natal","Alexandra",""
"3","A","Abu","ABU","F","Independent",2013-02-08,"Natal","Alexandra",""
"5","A","Abu","ABU","F","DOD",2013-03-01,"Natal","Alexandra",""
"6","A","Abu","ABU","F","END",2013-03-01,"Natal","Alexandra",""
"4","A","Abu","ABU","F","Takeover",2013-03-01,"Natal","Alexandra",""
"1","A","Achoo","ACH","F","DOB",2015-11-11,"Natal","Amelia",""
"2","A","Achoo","ACH","F","START",2015-11-11,"Natal","Amelia",""
"3","A","Achoo","ACH","F","END",2015-12-26,"","Amelia",""
"1","unknown","Adelalew","ADE","M","DOB",2004-01-07,"","",""
"2","T","Adelalew","ADE","M","START",2012-04-21,"Follower","",""
"4","AMG","Adelalew","ADE","M","END",2012-11-16,"Bachelor","",""
"3","AMG","Adelalew","ADE","M","Joins AMG",2012-11-16,"Bachelor","",""
"1","A","Agamemmnon","AGA","M","DOB",2011-12-28,"Natal","Ani",""
"2","A","Agamemmnon","AGA","M","START",2011-12-28,"Natal","Ani",""
"3","A","Agamemmnon","AGA","M","Takeover",2013-03-01,"Natal","Ani",""
"4","A","Agamemmnon","AGA","M","Independent",2013-03-09,"Natal","Ani",""
"5","A","Agamemmnon","AGA","M","Takeover",2015-03-18,"Natal","Ani",""
"6","A","Agamemmnon","AGA","M","END",2015-12-26,"","Ani",""
"1","M","Ait","AIT","M","DOB",2010-09-21,"Natal","Mouse",""
"2","M","Ait","AIT","M","START",2010-09-21,"Natal","Mouse",""
"3","M","Ait","AIT","M","Independent",2011-08-30,"Natal","Mouse",""
"4","M","Ait","AIT","M","DOD",2011-09-30,"Natal","Mouse",""
"5","M","Ait","AIT","M","END",2011-09-30,"Natal","Mouse",""
"1","A","Aiwa","AIW","F","DOB",2003-11-03,"Natal","",""
"3","A","Aiwa","AIW","F","START",2008-04-16,"Natal","",""
"4","A","Aiwa","AIW","F","Female maturation",2008-05-13,"C","",""
"5","A","Aiwa","AIW","F","Takeover",2009-04-15,"C","",""
"6","A","Aiwa","AIW","F","Conception",2009-08-09,"P","","Amelia"
"7","A","Aiwa","AIW","F","First Birth",2010-02-08,"L","","Amelia"
"8","A","Aiwa","AIW","F","Wean (swell)",2011-03-25,"C","","Amelia"
"9","A","Aiwa","AIW","F","Conception",2011-03-26,"P","","Avatar"
"10","A","Aiwa","AIW","F","Birth",2011-09-25,"L","","Avatar"
"11","A","Aiwa","AIW","F","Takeover",2013-03-01,"C","","Avatar"
"12","A","Aiwa","AIW","F","Wean (swell)",2013-03-09,"C","","Avatar"
"13","A","Aiwa","AIW","F","Conception",2013-08-28,"P","","Avett"
"14","A","Aiwa","AIW","F","Birth",2014-02-26,"L","","Avett"
"15","A","Aiwa","AIW","F","Takeover",2015-03-18,"L","","Avett"
"16","A","Aiwa","AIW","F","Wean (swell)",2015-04-20,"C","","Avett"
"17","A","Aiwa","AIW","F","Inf Death",2015-04-29,"C","","Avett"
"18","A","Aiwa","AIW","F","Conception",2015-05-30,"P","","Ababa"
"19","A","Aiwa","AIW","F","Birth",2015-11-26,"L","","Ababa"
"20","A","Aiwa","AIW","F","END",2015-12-26,"","",""
"2","A","Aiwa","AIW","F","Independent",NA,"Natal","",""
"1","A","Akira","AKI","M","DOB",2014-03-07,"Natal","Ani",""
"2","A","Akira","AKI","M","START",2014-03-08,"Natal","Ani",""
"4","A","Akira","AKI","M","Independent",2015-03-18,"Natal","Ani",""
