ORDER,UNIT,NAME,ID,SEX,EVENT,DATE,STATUS,MOM,INF.NAME
1,A,Ababa,Aba,F,DOB,11/26/15,Natal,Aiwa,
2,A,Ababa,Aba,F,START,11/28/15,Natal,Aiwa,
3,A,Ababa,Aba,F,END,12/26/15,,Aiwa,
1,A,Abu,ABU,F,DOB,9/5/10,Natal,Alexandra,
2,A,Abu,ABU,F,START,1/4/12,Natal,Alexandra,
3,A,Abu,ABU,F,Independent,2/8/13,Natal,Alexandra,
5,A,Abu,ABU,F,DOD,3/1/13,Natal,Alexandra,
6,A,Abu,ABU,F,END,3/1/13,Natal,Alexandra,
4,A,Abu,ABU,F,Takeover,3/1/13,Natal,Alexandra,
1,A,Achoo,ACH,F,DOB,11/11/15,Natal,Amelia,
2,A,Achoo,ACH,F,START,11/11/15,Natal,Amelia,
3,A,Achoo,ACH,F,END,12/26/15,,Amelia,
1,unknown,Adelalew,ADE,M,DOB,1/7/04,,,
2,T,Adelalew,ADE,M,START,4/21/12,Follower,,
4,AMG,Adelalew,ADE,M,END,11/16/12,Bachelor,,
3,AMG,Adelalew,ADE,M,Joins AMG,11/16/12,Bachelor,,
1,A,Agamemmnon,AGA,M,DOB,12/28/11,Natal,Ani,
2,A,Agamemmnon,AGA,M,START,12/28/11,Natal,Ani,
3,A,Agamemmnon,AGA,M,Takeover,3/1/13,Natal,Ani,
4,A,Agamemmnon,AGA,M,Independent,3/9/13,Natal,Ani,
5,A,Agamemmnon,AGA,M,Takeover,3/18/15,Natal,Ani,
6,A,Agamemmnon,AGA,M,END,12/26/15,,Ani,
1,M,Ait,AIT,M,DOB,9/21/10,Natal,Mouse,
2,M,Ait,AIT,M,START,9/21/10,Natal,Mouse,
3,M,Ait,AIT,M,Independent,8/30/11,Natal,Mouse,
4,M,Ait,AIT,M,DOD,9/30/11,Natal,Mouse,
5,M,Ait,AIT,M,END,9/30/11,Natal,Mouse,
1,A,Aiwa,AIW,F,DOB,11/3/03,Natal,,
3,A,Aiwa,AIW,F,START,4/16/08,Natal,,
4,A,Aiwa,AIW,F,Female maturation,5/13/08,C,,
5,A,Aiwa,AIW,F,Takeover,4/15/09,C,,
6,A,Aiwa,AIW,F,Conception,8/9/09,P,,Amelia
7,A,Aiwa,AIW,F,First Birth,2/8/10,L,,Amelia
8,A,Aiwa,AIW,F,Wean (swell),3/25/11,C,,Amelia
9,A,Aiwa,AIW,F,Conception,3/26/11,P,,Avatar
10,A,Aiwa,AIW,F,Birth,9/25/11,L,,Avatar
11,A,Aiwa,AIW,F,Takeover,3/1/13,C,,Avatar
12,A,Aiwa,AIW,F,Wean (swell),3/9/13,C,,Avatar
13,A,Aiwa,AIW,F,Conception,8/28/13,P,,Avett
14,A,Aiwa,AIW,F,Birth,2/26/14,L,,Avett
15,A,Aiwa,AIW,F,Takeover,3/18/15,L,,Avett
16,A,Aiwa,AIW,F,Wean (swell),4/20/15,C,,Avett
17,A,Aiwa,AIW,F,Inf Death,4/29/15,C,,Avett
18,A,Aiwa,AIW,F,Conception,5/30/15,P,,Ababa
19,A,Aiwa,AIW,F,Birth,11/26/15,L,,Ababa
20,A,Aiwa,AIW,F,END,12/26/15,,,
2,A,Aiwa,AIW,F,Independent,NA,Natal,,
1,A,Akira,AKI,M,DOB,3/7/14,Natal,Ani,
2,A,Akira,AKI,M,START,3/8/14,Natal,Ani,
4,A,Akira,AKI,M,Independent,3/18/15,Natal,Ani,
3,A,Akira,AKI,M,Takeover,3/18/15,Natal,Ani,
5,A,Akira,AKI,M,END,12/26/15,,Ani,
1,A,Alcide,ALC,M,DOB,2/8/10,Natal,Apie,
2,A,Alcide,ALC,M,START,2/8/10,Natal,Apie,
4,A,Alcide,ALC,M,DOD,9/21/10,Natal,Apie,
5,A,Alcide,ALC,M,END,9/21/10,Natal,Apie,
3,A,Alcide,ALC,M,Mom died,9/21/10,,,
1,A,Alexandra,ALE,F,DOB,5/30/04,Natal,,
3,A,Alexandra,ALE,F,START,3/21/09,Natal,,
4,A,Alexandra,ALE,F,Takeover,4/15/09,Natal,,
5,A,Alexandra,ALE,F,Female maturation,4/30/09,C,,
6,A,Alexandra,ALE,F,Conception,3/6/10,P,,Abu
7,A,Alexandra,ALE,F,First Birth,9/5/10,L,,Abu
8,A,Alexandra,ALE,F,Wean (swell),2/8/13,C,,Abu
9,A,Alexandra,ALE,F,Takeover,3/1/13,C,,
10,A,Alexandra,ALE,F,Conception,3/30/13,P,,Aristotle
11,A,Alexandra,ALE,F,Birth,9/29/13,L,,Aristotle
12,A,Alexandra,ALE,F,Takeover,3/18/15,L,,Aristotle
13,A,Alexandra,ALE,F,Wean (swell),4/20/15,C,,Aristotle
14,A,Alexandra,ALE,F,END,12/26/15,,,
2,A,Alexandra,ALE,F,Independent,NA,Natal,,
1,A,Alice,ALI,F,DOB,8/20/82,Natal,,
5,A,Alice,ALI,F,Birth,12/1/05,L,,Aren
N,A,Alice,ALI,F,Cyst,1/1/06,,,
6,A,Alice,ALI,F,START,1/14/06,L,,Aren
7,A,Alice,ALI,F,DOD,8/14/06,L,,
9,A,Alice,ALI,F,END,8/14/06,L,,
8,A,Alice,ALI,F,Inf Death,8/14/06,L,,Aren
3,A,Alice,ALI,F,Female maturation,NA,C,,
4,A,Alice,ALI,F,First Birth,NA,L,,
2,A,Alice,ALI,F,Independent,NA,Natal,,
1,A,Amelia,AME,F,DOB,2/8/10,Natal,Aiwa,
2,A,Amelia,AME,F,Independent,3/25/11,Natal,Aiwa,
3,A,Amelia,AME,F,START,2/8/10,Natal,Aiwa,
4,A,Amelia,AME,F,Takeover,3/1/13,Natal,Aiwa,
5,A,Amelia,AME,F,Female maturation,5/12/14,C,Aiwa,
7,A,Amelia,AME,F,Conception,3/18/15,P,Aiwa,
6,A,Amelia,AME,F,Takeover,3/18/15,C,Aiwa,
8,A,Amelia,AME,F,First Birth,11/11/15,L,Aiwa,Achoo
9,A,Amelia,AME,F,END,12/26/15,,Aiwa,Achoo
1,A,Ani,ANI,F,DOB,10/12/01,Natal,,
3,A,Ani,ANI,F,START,2/11/06,Natal,,
4,A,Ani,ANI,F,Female maturation,5/26/06,C,,
5,A,Ani,ANI,F,Conception,8/17/07,P,,Ant
6,A,Ani,ANI,F,First Birth,2/16/08,L,,Ant
7,A,Ani,ANI,F,Wean (swell),4/14/09,C,,Ant
8,A,Ani,ANI,F,Takeover,4/15/09,C,,
9,A,Ani,ANI,F,Conception,3/12/10,P,,Autumn
10,A,Ani,ANI,F,Birth,9/11/10,L,,Autumn
11,A,Ani,ANI,F,Wean (swell),6/27/11,C,,Autumn
12,A,Ani,ANI,F,Conception,6/28/11,P,,Agamemmnon
13,A,Ani,ANI,F,Birth,12/28/11,L,,Agamemmnon
